Zweigstelle;Zweigstellenname;schliesstag;Anlass;Beschreibung;Typ
WO;Waldhäuser-Ost;15.02.2024;;;Einmalig
D;Derendingen;16.02.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;16.02.2024;;;Einmalig
Hi;Hirschau;16.02.2024;;;Einmalig
MZU;Medienzentrum;16.02.2024;;;Einmalig
WO;Waldhäuser-Ost;16.02.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;17.02.2024;;;Einmalig
Hi;Hirschau;17.02.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;18.02.2024;;;Einmalig
D;Derendingen;25.03.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;25.03.2024;;;Einmalig
Hi;Hirschau;25.03.2024;;;Einmalig
MZU;Medienzentrum;25.03.2024;;;Einmalig
WO;Waldhäuser-Ost;25.03.2024;;;Einmalig
D;Derendingen;26.03.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;26.03.2024;;;Einmalig
Hi;Hirschau;26.03.2024;;;Einmalig
MZU;Medienzentrum;26.03.2024;;;Einmalig
WO;Waldhäuser-Ost;26.03.2024;;;Einmalig
D;Derendingen;27.03.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;27.03.2024;;;Einmalig
Hi;Hirschau;27.03.2024;;;Einmalig
MZU;Medienzentrum;27.03.2024;;;Einmalig
WO;Waldhäuser-Ost;27.03.2024;;;Einmalig
D;Derendingen;28.03.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;28.03.2024;;;Einmalig
Hi;Hirschau;28.03.2024;;;Einmalig
HST;Hauptstelle Tübingen;28.03.2024;Ostern;;Einmalig
MZU;Medienzentrum;28.03.2024;;;Einmalig
WO;Waldhäuser-Ost;28.03.2024;;;Einmalig
D;Derendingen;29.03.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;29.03.2024;;;Einmalig
Hi;Hirschau;29.03.2024;;;Einmalig
HST;Hauptstelle Tübingen;29.03.2024;Ostern;;Einmalig
MZU;Medienzentrum;29.03.2024;;;Einmalig
WO;Waldhäuser-Ost;29.03.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;30.03.2024;;;Einmalig
Hi;Hirschau;30.03.2024;;;Einmalig
HST;Hauptstelle Tübingen;30.03.2024;Ostern;;Einmalig
eBib;Onleihe Neckar-Alb;31.03.2024;;;Einmalig
D;Derendingen;01.04.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;01.04.2024;;;Einmalig
Hi;Hirschau;01.04.2024;;;Einmalig
MZU;Medienzentrum;01.04.2024;;;Einmalig
WO;Waldhäuser-Ost;01.04.2024;;;Einmalig
D;Derendingen;02.04.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;02.04.2024;;;Einmalig
Hi;Hirschau;02.04.2024;;;Einmalig
MZU;Medienzentrum;02.04.2024;;;Einmalig
WO;Waldhäuser-Ost;02.04.2024;;;Einmalig
D;Derendingen;03.04.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;03.04.2024;;;Einmalig
Hi;Hirschau;03.04.2024;;;Einmalig
MZU;Medienzentrum;03.04.2024;;;Einmalig
WO;Waldhäuser-Ost;03.04.2024;;;Einmalig
D;Derendingen;04.04.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;04.04.2024;;;Einmalig
Hi;Hirschau;04.04.2024;;;Einmalig
MZU;Medienzentrum;04.04.2024;;;Einmalig
WO;Waldhäuser-Ost;04.04.2024;;;Einmalig
D;Derendingen;05.04.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;05.04.2024;;;Einmalig
Hi;Hirschau;05.04.2024;;;Einmalig
MZU;Medienzentrum;05.04.2024;;;Einmalig
WO;Waldhäuser-Ost;05.04.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;06.04.2024;;;Einmalig
Hi;Hirschau;06.04.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;07.04.2024;;;Einmalig
HST;Hauptstelle Tübingen;23.04.2024;Umbau;;Einmalig
HST;Hauptstelle Tübingen;24.04.2024;Umbau;;Einmalig
HST;Hauptstelle Tübingen;25.04.2024;Umbau;;Einmalig
D;Derendingen;20.05.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;20.05.2024;;;Einmalig
Hi;Hirschau;20.05.2024;;;Einmalig
MZU;Medienzentrum;20.05.2024;;;Einmalig
WO;Waldhäuser-Ost;20.05.2024;;;Einmalig
D;Derendingen;21.05.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;21.05.2024;;;Einmalig
Hi;Hirschau;21.05.2024;;;Einmalig
MZU;Medienzentrum;21.05.2024;;;Einmalig
WO;Waldhäuser-Ost;21.05.2024;;;Einmalig
D;Derendingen;22.05.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;22.05.2024;;;Einmalig
Hi;Hirschau;22.05.2024;;;Einmalig
MZU;Medienzentrum;22.05.2024;;;Einmalig
WO;Waldhäuser-Ost;22.05.2024;;;Einmalig
D;Derendingen;23.05.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;23.05.2024;;;Einmalig
Hi;Hirschau;23.05.2024;;;Einmalig
MZU;Medienzentrum;23.05.2024;;;Einmalig
WO;Waldhäuser-Ost;23.05.2024;;;Einmalig
D;Derendingen;24.05.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;24.05.2024;;;Einmalig
Hi;Hirschau;24.05.2024;;;Einmalig
MZU;Medienzentrum;24.05.2024;;;Einmalig
WO;Waldhäuser-Ost;24.05.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;25.05.2024;;;Einmalig
Hi;Hirschau;25.05.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;26.05.2024;;;Einmalig
D;Derendingen;27.05.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;27.05.2024;;;Einmalig
Hi;Hirschau;27.05.2024;;;Einmalig
MZU;Medienzentrum;27.05.2024;;;Einmalig
WO;Waldhäuser-Ost;27.05.2024;;;Einmalig
D;Derendingen;28.05.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;28.05.2024;;;Einmalig
Hi;Hirschau;28.05.2024;;;Einmalig
MZU;Medienzentrum;28.05.2024;;;Einmalig
WO;Waldhäuser-Ost;28.05.2024;;;Einmalig
D;Derendingen;29.05.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;29.05.2024;;;Einmalig
Hi;Hirschau;29.05.2024;;;Einmalig
MZU;Medienzentrum;29.05.2024;;;Einmalig
WO;Waldhäuser-Ost;29.05.2024;;;Einmalig
D;Derendingen;30.05.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;30.05.2024;;;Einmalig
Hi;Hirschau;30.05.2024;;;Einmalig
MZU;Medienzentrum;30.05.2024;;;Einmalig
WO;Waldhäuser-Ost;30.05.2024;;;Einmalig
D;Derendingen;31.05.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;31.05.2024;;;Einmalig
Hi;Hirschau;31.05.2024;;;Einmalig
MZU;Medienzentrum;31.05.2024;;;Einmalig
WO;Waldhäuser-Ost;31.05.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;01.06.2024;;;Einmalig
Hi;Hirschau;01.06.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;02.06.2024;;;Einmalig
D;Derendingen;10.06.2024;Auszählung Wahl;;Einmalig
eBib;Onleihe Neckar-Alb;10.06.2024;Auszählung Wahl;;Einmalig
Hi;Hirschau;10.06.2024;Auszählung Wahl;;Einmalig
MZU;Medienzentrum;10.06.2024;Auszählung Wahl;;Einmalig
WO;Waldhäuser-Ost;10.06.2024;Auszählung Wahl;;Einmalig
D;Derendingen;11.06.2024;Auszählung Wahl;;Einmalig
eBib;Onleihe Neckar-Alb;11.06.2024;Auszählung Wahl;;Einmalig
Hi;Hirschau;11.06.2024;Auszählung Wahl;;Einmalig
HST;Hauptstelle Tübingen;11.06.2024;Auszählung Wahl;;Einmalig
MZU;Medienzentrum;11.06.2024;Auszählung Wahl;;Einmalig
WO;Waldhäuser-Ost;11.06.2024;Auszählung Wahl;;Einmalig
D;Derendingen;25.07.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;25.07.2024;;;Einmalig
Hi;Hirschau;25.07.2024;;;Einmalig
MZU;Medienzentrum;25.07.2024;;;Einmalig
WO;Waldhäuser-Ost;25.07.2024;;;Einmalig
D;Derendingen;26.07.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;26.07.2024;;;Einmalig
Hi;Hirschau;26.07.2024;;;Einmalig
MZU;Medienzentrum;26.07.2024;;;Einmalig
WO;Waldhäuser-Ost;26.07.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;27.07.2024;;;Einmalig
Hi;Hirschau;27.07.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;28.07.2024;;;Einmalig
D;Derendingen;29.07.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;29.07.2024;;;Einmalig
Hi;Hirschau;29.07.2024;;;Einmalig
MZU;Medienzentrum;29.07.2024;;;Einmalig
WO;Waldhäuser-Ost;29.07.2024;;;Einmalig
D;Derendingen;30.07.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;30.07.2024;;;Einmalig
Hi;Hirschau;30.07.2024;;;Einmalig
MZU;Medienzentrum;30.07.2024;;;Einmalig
WO;Waldhäuser-Ost;30.07.2024;;;Einmalig
D;Derendingen;31.07.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;31.07.2024;;;Einmalig
Hi;Hirschau;31.07.2024;;;Einmalig
MZU;Medienzentrum;31.07.2024;;;Einmalig
WO;Waldhäuser-Ost;31.07.2024;;;Einmalig
D;Derendingen;01.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;01.08.2024;;;Einmalig
Hi;Hirschau;01.08.2024;;;Einmalig
MZU;Medienzentrum;01.08.2024;;;Einmalig
WO;Waldhäuser-Ost;01.08.2024;;;Einmalig
D;Derendingen;02.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;02.08.2024;;;Einmalig
Hi;Hirschau;02.08.2024;;;Einmalig
MZU;Medienzentrum;02.08.2024;;;Einmalig
WO;Waldhäuser-Ost;02.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;03.08.2024;;;Einmalig
Hi;Hirschau;03.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;04.08.2024;;;Einmalig
D;Derendingen;05.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;05.08.2024;;;Einmalig
Hi;Hirschau;05.08.2024;;;Einmalig
MZU;Medienzentrum;05.08.2024;;;Einmalig
WO;Waldhäuser-Ost;05.08.2024;;;Einmalig
D;Derendingen;06.08.2024;;;Einmalig
eBib;Onleihe Neckar-Alb;06.08.2024;;;Einmalig
Hi;Hirschau;06.08.2024;;;Einmalig
MZU;Medienzentrum;06.08.2024;;;Einmalig
WO;Waldhäuser-Ost;06.08.2024;;;Einmalig
D;Derendingen;07.08.2024;;;Einmalig
