Zweigstelle;Zweigstellenname;schliesstag;Anlass;Beschreibung;Typ
eBib;Onleihe Neckar-Alb;02.01.2025;;;Einmalig
Hi;Hirschau;02.01.2025;;;Einmalig
HST;Hauptstelle Tübingen;02.01.2025;;;Einmalig
MZU;Medienzentrum;02.01.2025;;;Einmalig
WO;Waldhäuser-Ost;02.01.2025;;;Einmalig
D;Derendingen;03.01.2025;;;Einmalig
eBib;Onleihe Neckar-Alb;03.01.2025;;;Einmalig
Hi;Hirschau;03.01.2025;;;Einmalig
HST;Hauptstelle Tübingen;03.01.2025;;;Einmalig
MZU;Medienzentrum;03.01.2025;;;Einmalig
WO;Waldhäuser-Ost;03.01.2025;;;Einmalig
eBib;Onleihe Neckar-Alb;04.01.2025;;;Einmalig
Hi;Hirschau;04.01.2025;;;Einmalig
HST;Hauptstelle Tübingen;04.01.2025;;;Einmalig
eBib;Onleihe Neckar-Alb;05.01.2025;;;Einmalig
D;Derendingen;07.01.2025;;;Einmalig
eBib;Onleihe Neckar-Alb;07.01.2025;;;Einmalig
Hi;Hirschau;07.01.2025;;;Einmalig
HST;Hauptstelle Tübingen;07.01.2025;;;Einmalig
MZU;Medienzentrum;07.01.2025;;;Einmalig
WO;Waldhäuser-Ost;07.01.2025;;;Einmalig
D;Derendingen;08.01.2025;;;Einmalig
eBib;Onleihe Neckar-Alb;08.01.2025;;;Einmalig
Hi;Hirschau;08.01.2025;;;Einmalig
HST;Hauptstelle Tübingen;08.01.2025;;;Einmalig
MZU;Medienzentrum;08.01.2025;;;Einmalig
WO;Waldhäuser-Ost;08.01.2025;;;Einmalig
D;Derendingen;03.03.2025;;;Einmalig
MZU;Medienzentrum;03.03.2025;b.F.;;Einmalig
WO;Waldhäuser-Ost;03.03.2025;;;Einmalig
D;Derendingen;04.03.2025;;;Einmalig
MZU;Medienzentrum;04.03.2025;b.F.;;Einmalig
